case,n,model,formula,SSE,MSE,s2,SST,R2,RMSE,mean_resid,max_abs_std_res,n_std_gt_3,max_cook,n_cook_gt_4n,dw,shapiro_p,theta1,theta2,theta3,se1,se2,se3
Faithful geyser,272,Saturation,y=a+b(1-e^{-cx}),9050.845016492147,33.27516550180936,33.64626400182954,50087.117647058825,0.8192979464246807,5.768463010352876,1.6554655864704374e-06,2.562333426628663,0,0.06175754722756543,17,2.5034873706070955,0.07226691272664994,14.116596160077043,92.85170219818701,0.28687081286723937,8.704708059257014,4.706957318140719,0.09760876420535804
Diamonds,5000,Power law,y=ax^b,12276824588.9987,2455364.9177997396,2456347.4567824528,78973192699.01678,0.8445444059000093,1566.9604072214906,-125.40331513346028,15.527505365956843,116,11.847480993273571,384,1.9896300110650438,8.26669982146933e-66,5113.93548443007,1.459925461389594,,28.421414232274188,0.010237037238146354,
Mammal sleep,83,Allometry,y=ax^b,1140.1543521069768,13.736799422975624,14.075979655641689,1624.0655421686745,0.29796284540063156,3.706318850689404,-0.02565774743744327,2.6938821453024953,0,0.18255122576358307,6,2.1440685993909905,0.04301990382327956,10.821798986015887,-0.07028069108896208,,0.42219800400536467,0.013201774304359145,
Penguins Adelie,151,Power law,y=ax^b,24607706.743065216,162964.94531831268,165152.39424875984,31542433.77483444,0.2198538984427375,403.6891691862846,0.038207180258578825,2.837121781933698,0,0.04957325231583113,6,2.591954830085764,0.21282523752859484,0.515025327742663,1.692296330468718,,0.7035912946007825,0.26020103499563074,
Penguins Chinstrap,68,Power law,y=ax^b,5783206.61830414,85047.15615153147,87624.34270157787,9896801.470588235,0.4156489209679576,291.6284556615343,0.16650335898621318,3.057098048833878,1,0.1735019430893368,6,2.5630150370479345,0.27962202561443145,0.22260859158708474,1.8430694734802318,,0.3139527143746697,0.2670341591752588,
Penguins Gentoo,123,Power law,y=ax^b,15740750.838323241,127973.58405140847,130088.84990349786,31004247.967479676,0.49230341420202484,357.7339570846028,-0.0728482103397654,2.8503816879980564,0,0.05918843853570854,5,2.398959567638858,0.005468083857134211,0.02012017195484319,2.3113818318051815,,0.022956818392201192,0.21190040332438098,
MPG pickup,33,Exponential decay,y=a+be^{-cx},94.03704455323219,2.8496074107040057,3.1345681517744066,165.51515151515153,0.4318523489094357,1.6880780226944505,1.0337274470760928e-09,2.4187220768514837,0,0.11227911136730137,0,2.15573971688204,0.0020013515088800164,14.381775203477636,34.538457126359944,0.6263754199836142,2.333603305715762,37.46430100604259,0.4969610790040305
MPG subcompact,35,Exponential decay,y=a+be^{-cx},460.59448618263656,13.159842462361045,14.393577693207392,982.2857142857142,0.5310992723562455,3.6276497160504686,4.0988197724800555e-09,3.5340827340622845,1,0.19490568250146453,2,1.0455882952858628,4.8696115405035825e-05,21.56586924481203,49.90732131335177,0.882626354386063,2.411544734215672,34.13196323516761,0.47357432276073097
MPG suv,62,Exponential decay,y=a+be^{-cx},212.42294225565539,3.4261764879944416,3.600388851790769,540.9677419354837,0.6073278944588361,1.8509933787008643,-1.1288461205220946e-14,2.69077604493667,0,0.17878941000411236,2,2.0246034428570736,0.05171197807613312,16.272963204377167,99.99999999999997,1.0323478155316705,0.6347319608295765,77.89018790673241,0.3227778978521683
Economics PCE,574,Exponential growth,y=ae^{bx},146714122.519121,255599.51658383448,256493.22118727447,7340873123.937283,0.980014077339014,505.5685082991567,-93.01719895306879,2.58381215684033,0,0.06298439169893653,32,0.0027187117084339443,1.2576117978862057e-12,1098.3749707992902,0.05247113230195429,,17.61714198661727,0.00040554775667989216,
Austin housing,16,Exponential growth,y=ae^{bx},1236251449.783504,77265715.611469,88303674.984536,16532416093.750002,0.9252225783108095,8790.091900058213,76.11656342894457,2.466657519685294,0,1.2260384158755835,1,0.5164136859849063,0.9293901353396483,137226.9384721616,0.03710862631095531,,3910.7172731739593,0.002827736393515744,